insert 9687746 0,15918711859695 240
insert 9024542 0,354607130565963 341
insert 7116968 0,610618154802647 125
insert 1488142 0,964959078917726 193
insert 3777649 0,495038804363012 352
insert 4824566 0,898277168114799 358
insert 3842197 0,0350800333707966 37
insert 3817215 0,892403210928851 348
insert 5005133 0,844585189057787 327
insert 6484162 0,168115034312063 222
insert 1048987 0,794009396710437 183
insert 4956061 0,560559829958044 34
insert 8653249 0,53088630201802 168
insert 7377630 0,274723770690488 179
insert 3336275 0,589851556620491 227
insert 8587592 0,359293779991238 8
insert 9161959 0,438251846208354 10
insert 7887722 0,29558314350228 309
insert 2178797 0,587053150677613 96
insert 6996086 0,401940918714712 183
insert 381504 0,0632805726785588 159
insert 7321507 0,04391548412103 61
insert 291907 0,882158828378729 336
insert 8825725 0,617131710339865 132
insert 5269470 0,646456758792725 273
insert 6056054 0,0480939457416972 108
insert 3365174 0,641754112039578 174
insert 8867167 0,732220288241385 262
insert 5890590 0,316126489227697 179
insert 6489092 0,277726390062704 350
insert 8299813 0,165716303589622 46
insert 9583107 0,699612600123329 76
insert 558531 0,60147681860322 196
insert 4597460 0,829568510795743 171
insert 893192 0,0336233894497265 295
insert 6606190 0,261825202154846 233
insert 1003029 0,612274281500035 194
insert 9642322 0,363091184926727 273
insert 247305 0,151433659787957 119
insert 7126399 0,14309169777813 262
insert 6725234 0,38028145226663 217
insert 9609722 0,0525912312104326 162
insert 2384454 0,568636247687338 340
insert 5489130 0,54975230598345 160
insert 7566155 0,876771393640326 292
insert 81564 0,797397467213402 251
insert 9087430 0,928439997568931 19
insert 8492998 0,548606265126078 239
insert 4345474 0,86574908991612 288
insert 3687585 0,933580266280836 197
insert 8803829 0,343213219821087 165
insert 8181470 0,787222598580282 161
insert 8727025 0,128347002960903 353
insert 3697047 0,422173595718189 249
insert 7022822 0,551389926369949 22
insert 923420 0,20761667155084 175
insert 9480012 0,0165740749875894 127
insert 6324633 0,803896880151656 77
insert 6734877 0,823223560500528 299
insert 9389803 0,526424820780021 67
insert 6487902 0,869686906165298 228
insert 3986652 0,668530151093626 74
insert 9882320 0,93846850420277 32
insert 3628985 0,135453944157555 240
insert 7175647 0,539038323116972 182
insert 3611123 0,147017642458443 358
insert 6029301 0,342205396547078 236
insert 3163053 0,420757371196876 330
insert 1941427 0,247919527929239 194
insert 2437334 0,144659369785646 347
insert 6176118 0,933722183543128 216
insert 7941900 0,720914441030898 198
insert 581329 0,303617007706136 317
insert 8559828 0,104110071484051 96
insert 3967709 0,585102662716574 317
insert 6849857 0,914898645093152 95
insert 7083852 0,312375375215139 243
insert 8344588 0,336050196707272 66
insert 5287097 0,332484960710856 161
insert 7180497 0,204522470573207 151
insert 6672227 0,744498585697496 285
insert 1255497 0,745286671326164 72
insert 671282 0,923374723607383 294
insert 9537797 0,302979359544338 303
insert 1143565 0,746947243691863 85
insert 3889842 0,919534331150136 300
insert 358860 0,509157019438761 119
insert 2744577 0,535348122257436 299
insert 2877931 0,783153023004137 215
insert 4177027 0,265480294015948 139
insert 1035571 0,340083182947749 35
insert 4622491 0,188760142861288 129
insert 4753390 0,271221239246065 302
insert 6793883 0,617857446250439 356
insert 4467346 0,754605586060605 3
insert 8328052 0,720102284904617 212
insert 9461240 0,139725471911824 148
insert 6132748 0,682163729650045 250
insert 875897 0,392764963858186 75
insert 9615251 0,837756636942623 346
insert 6040597 0,649425524123677 236
insert 4296944 0,850222557713381 346
insert 7443060 0,652107411367869 200
insert 8784838 0,913645218086264 233
insert 9958387 0,356497690247604 320
insert 3414969 0,827723107686137 281
insert 8228879 0,45498783674789 22
insert 85690 0,471578658778024 45
insert 9754788 0,49028232809635 236
insert 4037290 0,374659411783637 286
insert 1504610 0,513813893084328 156
insert 8776823 0,0753285964370373 348
insert 3336294 0,0170402731825785 325
insert 464998 0,0884991856703997 24
insert 309158 0,0676402598934436 81
insert 7646375 0,617436109398229 117
insert 8040658 0,746092778977981 203
insert 4284079 0,138637160946912 137
insert 8990829 0,595490739958124 64
insert 5321396 0,454215551006708 129
insert 3049767 0,340577011620895 99
insert 7621919 0,728022816929977 143
insert 2148484 0,118156374021506 101
insert 9228676 0,00786746945598511 291
insert 8763595 0,776388139825495 131
insert 9950558 0,977653181635613 145
insert 8996745 0,210841313102674 314
insert 3322534 0,599663208052359 226
insert 2309533 0,722053095103266 135
insert 506958 0,978599432845879 172
insert 7905850 0,801489884407022 202
insert 5444427 0,741523115775326 269
insert 7905468 0,268723930357361 122
insert 8262489 0,54978904805602 179
insert 444969 0,881198226884565 265
insert 7543590 0,552048419393622 130
insert 162801 0,904027045659733 222
insert 7739084 0,632465039208748 87
insert 4870940 0,972723309403622 266
insert 6488813 0,531238598996419 2
insert 246545 0,16415268749192 50
insert 8013312 0,132282594280449 74
insert 2478581 0,331916709119415 12
insert 6185664 0,204508990610255 255
insert 643209 0,0734256394549392 237
insert 3735664 0,287756468303388 258
insert 8903413 0,476594301162564 61
insert 129277 0,0344156529914661 26
insert 8620002 0,016676590320038 60
insert 3194504 0,0573487878112815 276
insert 70083 0,141665507173941 265
insert 3336477 0,801594335959104 138
insert 3597227 0,243165708260222 269
insert 5318477 0,506500909340801 79
insert 3273839 0,397713672089257 251
insert 9089083 0,709587510539958 201
insert 5823219 0,113527527597513 246
insert 224488 0,758540043494916 19
insert 8359650 0,011726881848521 46
insert 649845 0,93933093917525 41
insert 373527 0,928407628055852 98
insert 2660652 0,611558106547016 22
insert 9714439 0,730673234784358 97
insert 2754159 0,0138436891203018 16
insert 9695493 0,358493598810627 349
insert 9498729 0,685543713944752 229
insert 3750543 0,953091991112145 110
insert 6099854 0,737128511414457 339
insert 838329 0,984559548080228 137
insert 6828410 0,49768267501969 284
insert 2558993 0,294738240211615 109
insert 6333096 0,494494984622344 208
insert 9455637 0,061318779392782 283
insert 6366745 0,937464387126949 352
insert 2872080 0,306906068374825 35
insert 6403760 0,0528994738370643 144
insert 845509 0,886092080681628 117
insert 4930350 0,689930221852814 355
insert 8085169 0,427367294406224 68
insert 3307466 0,182232252406996 225
insert 6797180 0,288602886390222 83
insert 4819638 0,0195165784189089 258
insert 7407559 0,336239719919972 311
insert 3920001 0,00430917646936568 224
insert 8505464 0,738379760523504 5
insert 3281748 0,322777349186492 154
insert 8441374 0,443456884214402 335
insert 9830790 0,598290127514997 220
insert 4636842 0,762864272465401 217
insert 3175958 0,824792704463374 24
insert 3868141 0,614817127871708 316
insert 1591570 0,956956551855875 233
insert 7459237 0,805244246872721 103
insert 3805783 0,899620090098875 257
insert 5360478 0,692550795475278 317
insert 7019582 0,642488638238278 342
insert 9706113 0,480342120155851 37
insert 7610566 0,486609239357807 265
insert 6953384 0,696639000762552 248
insert 6213999 0,0182795631784385 92
insert 1142974 0,423160169936325 184
insert 7968709 0,00518594589325876 140
insert 7451384 0,691389408284514 281
insert 3667661 0,582251088033547 186
insert 1428329 0,463559032168034 195
insert 2150003 0,447031188498731 326
